category_cluster_kmean,total_count,n_variants,top_examples
63,44772,1330,"дети (31997) | семьи (2708) | родители (2641) | семьи с детьми (2057) | родители детей (810) | многодетные семьи молодежь (656) | молодые семьи (469) | члены семей (209) | родители подростков (175) | родители детей и подростков (145) | дети из семей (103) | молодые семьи с детьми (91) | родители с детьми (83) | молодые родители (82) | дети раннего (63) | члены семьи (57) | дети возрастом (37) | подростки из семей (34) | семьи детей (33) | родители детей в возрасте (29) | подростки и их родители (25) | семьи с детьми и подростками (25) | будущие родители (25) | родители этих детей (22) | дети из (20) | семьи в (18) | родители и опекуны (17) | члены семей лиц (16) | семьи, воспитывающие детей (16) | дети с овзродители (16) | семьи граждан (15) | члены семей с детьми (15) | члены семей граждан (14) | дети возрастной категории (14) | дети раннего и (14) | дети и подросткимногодетные семьи (14) | семьи с маленькими детьми (13) | родители детей раннего (12) | семьи с детьми молодежь (11) | родители таких людей (11) | дети с овзсемьи (11) | дети возрасте (10) | дети в (10) | родители и опекуны детей (10) | семьи с подростками (10) | жители поселений многодетных семей (10) | представители семей (9) | родители из семей (9) | родители/опекуны (9) | семьи с детьми раннего (9) | семьи из (8) | родители и другие члены семьи (8) | семьи подростков (8) | родители детей целевой группы (8) | семьи с новорожденными детьми (8) | подростки и их семьи (8) | дети семей (8) | молодежь и студентымолодые семьи (7) | семьи, имеющие детей (7) | активные семьи с детьми (7) | родители и другие члены семей (7) | дети-билингвы (7) | дети разных национальностей (7) | дети с (6) | родители молодежи (6) | молодые семьи без детей (6) | родители и их дети (6) | семьи разных национальностей (6) | молодые родители с детьми (6) | члены семей детей (6) | члены их семей (6) | мужчины с детьми (6) | семьи с детьми-подростками (6) | активные дети (6) | дети всех возрастов (5) | мужчины-отцы (5) | члены молодых семей (5) | родители детей и подростков из (5) | родители и родственники детей (5) | семьи п (5)"
38,44063,936,подростки (21253) | молодежь (16354) | подростки молодежь (2555) | молодые люди (1351) | юноши (372) | дети и взрослые (73) | представители молодежи (72) | дети и подростков (67) | родительская общественность (45) | подростки возрастом (43) | молодых людей (35) | молодежь и взрослые (35) | подростки среднего и старшего (33) | молодые жители (31) | подростки с (28) | дети старше (28) | молодежь с (26) | дети-подростки (26) | молодежь и взрослое население (21) | подростки и молодые взрослые (21) | подростки из (21) | подростки и взрослые (20) | молодые граждане (20) | молодежь возрастом (19) | подростки старше (19) | ребята (19) | дети и молодые взрослые (17) | активные молодые люди (13) | молодые люди старше (13) | молодежь из (12) | подростки − молодежь (12) | подростки возрастной категории (12) | молодежь п (12) | подростки молодежь и студентывзрослые (10) | подростки жители (10) | дети молодежь (10) | мужчины молодежь (9) | старшие подростки (9) | подростки дети (9) | молодежь и студентывзрослые (9) | молодежь старше (9) | подростки и молодежи (8) | молодежь допризывного и (8) | представители активной молодежи (8) | подростки  молодежь (8) | дети и молодежи (8) | молодежь молодежь (8) | подростки и взрослое население (7) | молодежь разных национальностей (7) | дети и юношество (7) | дети и подроски (7) | студенты и взрослые (6) | молодежь жители (6) | подростки− молодежь (6) | молодежь взрослое население (6) | подростки старшего (6) | подростки возрасте (6) | молодежь старшего (6) | подростки р (6) | подростки младшего (6) | молодежь и подрастающее поколение (5) | молодежь ур (5) | подростки разных национальностей (5) | юношей и девушек (5) | молодежь в возрастной категории (5) | дети и молодых взрослых (5) | подростки п (5) | общественность молодежь (5) | подростки младшего и среднего (5) | молодые люди возрастом (5) | молодежь возрасте (5) | активные подростки (5) | подростки в (5) | подростки взрослые (5) | подростки и молодых людей (5) | подростки обоих полов (4) | аудитория: молодежь (4) | молодежь местные жители (4) | подростки и допризывная молодежь (4) | юноши/девушки (4)
20,17196,1094,студенты (14312) | студенты вузов (376) | преподаватели вузов (151) | студенты колледжей (122) | студенты вузов и ссузов (101) | молодые педагоги (97) | студенты учебных заведений (66) | студенты колледжей и вузов (41) | студенты и (38) | студенты вузов и колледжей (38) | студенты профильных вузов (37) | учащиеся колледжей (36) | молодые учителя (29) | студенты и аспиранты (29) | студенты профильных специальностей (27) | студенты колледжей и техникумов (22) | учащиеся вузов (22) | студенты колледжа (22) | преподаватели школ и вузов (20) | студенты техникумов (20) | студенты профильных учебных заведений (18) | студенты педагогических вузов (17) | молодые преподаватели (16) | студенты педагогических специальностей (14) | студенты профильных факультетов (12) | студенты вузов и техникумов (12) | педагоги молодежь (11) | студенты техникумов и колледжей (11) | студенты университетов (10) | сотрудники вузов (9) | преподаватели колледжей (8) | студенты и магистранты (8) | участники образовательных отношений (8) | студенты из (8) | учащиеся колледжей и техникумов (7) | студенты вуза (7) | представители вузов (7) | студенты вузов профильных специальностей (6) | студенты профильных образовательных учреждений (6) | студенты и выпускники вузов (6) | учителя английского языка (6) | преподаватели университетов (6) | молодые специалисты - учителя школ (6) | учащиеся других учебных заведений (6) | студенты училищ (6) | студенты и аспиранты вузов (6) | преподаватели вузов и колледжей (6) | педагоги-новаторы (6) | студенты региональных вузов (6) | студенты колледжей и университетов (5) | учащиеся колледжа (5) | преподаватели молодежь (5) | студенты колледжей и (5) | преподаватели вузов и ссузов (5) | студенты разных национальностей (5) | учащиеся техникумов (5) | студенты бакалавриата и магистратуры (5) | преподаватели в (5) | студенты педагогического колледжа (5) | участники образовательного процесса (5) | студенты сред (4) | молодые преподаватели вузов (4) | студенты оху (4) | студенты профильных специальностей сургутского государственного университета и сургутского государственного педагогического университета (4) | учителя родного языка (4) | школьники регионов-участников (4) | студенты пед (4) | учащиеся и (4) | студенты техникума (4) | студенты вузов-партнеров (4) | студенты техникумов и вузов (4) | представители профильных вузов (4) | студенты-практиканты (4) | педагоги в возрастной группе (3) | студенты педагогических университетов (3) | студенты старших курсов профильных вузов (3) | студенты и выпускники (3) | учителя иностранного языка (3) | преподаватели школ и университетов (3) | студенты специальностей (3)
62,14815,690,пенсионеры (5340) | лица (4490) | мужчины (1203) | пожилые люди (989) | люди старшего поколения (389) | люди старшего (275) | люди среднего (187) | люди старше (141) | граждане старше (69) | люди предпенсионного и (59) | представители старшего поколения (59) | граждане старшего поколения (58) | пожилые люди старше (55) | лица старше (54) | граждане старшего (47) | пенсионеры старше (43) | лица старшего (35) | мужчины старше (34) | неработающие пенсионеры (31) | люди пенсионного и (31) | граждане предпенсионного и (31) | люди среднего и старшего (29) | граждане среднего (24) | люди среднего и (22) | активные пенсионеры (21) | жители старше (20) | лица предпенсионного и (18) | лица из их числа (16) | граждане пенсионного и (15) | жители старшего (15) | лица старшего поколения (14) | жители среднего (11) | пенсионеры по возрасту (11) | жители старшего поколения (10) | люди третьего (10) | люди пожилого и (10) | лица среднего (9) | мужчины среднего (9) | мужчины и женщин (8) | люди старших возрастов (8) | население старшего поколения (8) | беженцы пенсионеры (8) | жители предпенсионного и (7) | пенсионеры и предпенсионеры (7) | пенсионеры по старости (7) | взрослое население пенсионеры (7) | лица среднего и старшего (6) | одинокие пожилые люди старше (6) | взрослые люди старше (6) | лица не (6) | пенсионеры по возрасту5 (5) | активные представители старшего поколения (5) | мужчины пенсионеры (5) | граждане среднего и старшего (5) | пенсионеры и (5) | пенсионеры по возрасту любой социальной группы (5) | лица старшего и (5) | лица их заменяющие (5) | мужчины-женщины (5) | активные люди среднего (5) | люди среднего возрастапенсионеры (5) | активные граждане старше (4) | жители средних (4) | лица без определенного места жительства старше (4) | женщины мужчины (4) | члены семей липчан (4) | лица пенсионного и (4) | пенсионеры и другие люди (4) | представители старшего (4) | пенсионеры в (4) | люди старшей возрастной категории (4) | лица их замещающие (4) | активные люди старшего (4) | люди средних (4) | люди старшего и (4) | жители среднего и старшего (3) | пожилые люди пенсионеры (3) | мужчины всех возрастов (3) | люди обоих полов старше (3) | пенсионеры с (3)
47,11947,1129,жители (6465) | гости (1156) | население (1116) | взрослое население (503) | жители с (150) | активные жители (119) | жители п (68) | жители сельских поселений (64) | жители многоквартирных домов (57) | жители населенных пунктов (50) | гости региона (43) | жители д (42) | жители региона (41) | гости столицы (40) | взрослые жители (39) | жители сельских территорий (38) | жители городов (36) | жители муниципальных образований (34) | население с (32) | жители сельской местности (31) | жители регионов (23) | жители районов (22) | гости с (21) | жители муниципальных районов (18) | жители малых городов (17) | жители х (16) | население региона (15) | жители территорий (14) | жители поселений (14) | жители сельских населенных пунктов (14) | жители и уроженцы (14) | жители сельских районов (13) | взрослое население с (12) | жители р (12) | жители малых городов и сел (11) | жители отдаленных районов (11) | жители домов (11) | жители крупных городов (10) | население п (10) | жители мкр (9) | жители приграничных районов (9) | население в целом (9) | жители малых населенных пунктов (8) | жители отдаленных населенных пунктов (8) | жители микрорайонов (8) | жители частного сектора (8) | жители отдаленных территорий (8) | жители и гостей (7) | жители монотерриторий (7) | работающие жители (7) | активные жители сельских территорий (7) | население сельских поселений (7) | гости п (6) | жители приволжского (6) | жители мо (6) | активные жители многоквартирных домов (6) | население муниципальных образований (6) | гостей (6) | жители отдаленных деревень (6) | население территорий (6) | гости р (5) | жители сел малая елга (5) | взрослое население старше (5) | жители отдаленных сельских населенных пунктов (5) | жители близлежащих домов (5) | жители мкд (5) | жители твери (5) | жители малых городов и сельских поселений (5) | жители малых территорий (5) | жители отдаленных местностей (5) | гости городов (5) | гости из других регионов (5) | гости населенных пунктов (5) | жители других районов (5) | жители ул (5) | жители муниципалитетов (4) | жители и (4) | жители ж (4) | молодежь рсо-алания (4) | население мира (4)
9,11188,2341,учащиеся (2294) | обучающиеся (882) | учащиеся школ (612) | школьники старших классов (335) | учащиеся образовательных учреждений (231) | учащиеся общеобразовательных школ (208) | учащиеся общеобразовательных учреждений (161) | учащиеся старших классов (129) | обучающиеся школ (128) | студенты высших учебных заведений (120) | обучающиеся образовательных организаций (118) | обучающиеся в (105) | обучающиеся в школах (97) | школьники средних и старших классов (82) | учащиеся образовательных организаций (76) | обучающиеся общеобразовательных организаций (73) | обучающиеся общеобразовательных учреждений (72) | обучающиеся образовательных учреждений (66) | ученики школ (65) | старшие школьники (62) | школьники выпускных классов (59) | учащиеся старших классов школ (59) | обучающиеся в образовательных учреждениях (56) | студенты средних и высших учебных заведений (54) | обучающиеся общеобразовательных школ (53) | обучающиеся в образовательных организациях (51) | студенты образовательных учреждений (46) | учащиеся школы (44) | студенты профессиональных образовательных организаций (43) | учащиеся общеобразовательных организаций (42) | учащиеся учебных заведений (42) | школьники младших классов (38) | обучающиеся в общеобразовательных учреждениях (36) | школьники среднего и старшего звена (34) | учащиеся средних школ (32) | обучающиеся в общеобразовательных школах (31) | студенты средних специальных и высших учебных заведений (29) | школьники младшего (28) | ученики старших классов (28) | учащиеся средних и старших классов (27) | учащиеся средних общеобразовательных школ (27) | учащиеся старших классов общеобразовательных школ (26) | студенты образовательных организаций (26) | школьники общеобразовательных школ (24) | школьники младших (24) | учащиеся начальных классов школ (24) | обучающиеся в вузах (23) | школьники начальных классов (23) | обучающиеся школы (23) | студенты младших курсов (22) | школьники образовательных учреждений (22) | обучающиеся в общеобразовательных организациях (22) | учащиеся общеобразовательных учебных заведений (22) | учащиеся начальных классов (22) | школьники среднего звена (21) | студенты средне-специальных и высших учебных заведений (21) | обучающиеся по специальностям (21) | студенты высших и средних учебных заведений (20) | учащиеся средних общеобразовательных учреждений (20) | учащиеся школ и колледжей (20) | студенты средних специальных учебных заведений (20) | учащиеся средних и высших учебных заведений (19) | учащиеся высших учебных заведений (19) | учащиеся средней школы (19) | учащиеся начальной школы (19) | обучающиеся вузов (18) | студенты образовательных организаций высшего образования (17) | школьники средних классов (17) | студенты средних профессиональных и высших учебных заведений (17) | учащиеся средних образовательных учреждений (16) | ученики общеобразовательных школ (16) | студенты средне-специальных учебных заведений (16) | студенты среднего профессионального образования (16) | ученики начальных классов (16) | обучающиеся в учебных заведениях (16) | обучающиеся и (16) | старшеклассники общеобразовательных школ (15) | дети начальной школы (15) | студенты старших курсов (15) | учащиеся средних образовательных школ (15)
8,10432,1084,многодетные семьи (3605) | дети-сироты и дети (1371) | дети-сироты (535) | многодетные семьи дети-сироты и дети (347) | многодетные семьи лица (298) | дети и подростки дети-сироты и дети (258) | дети из многодетных семей (220) | малоимущие семьи (205) | дети из малообеспеченных семей (158) | малоимущие граждане (133) | дети оставшиеся без попечения родителей (125) | дети сироты (104) | замещающие семьи (103) | законные представители (87) | сироты (84) | приемные родители (81) | подростки из многодетных семей (74) | приемные семьи (74) | замещающие родители (68) | семьи с несовершеннолетними детьми (59) | дети из многодетных (55) | дети из многодетных и малообеспеченных семей (54) | несовершеннолетние дети (52) | дети из неполных семей (52) | дети из малоимущих семей (49) | дети-сирот и детей (48) | многодетные семьи с детьми (45) | дети - сироты (44) | подростки из многодетных (42) | дети из малообеспеченных (37) | дети-сирот (35) | малоимущие семьи с детьми (30) | семьи с приемными детьми (28) | малоимущие жители (28) | дети из малообеспеченных и многодетных семей (27) | законные представители детей (26) | родители несовершеннолетних (25) | родители несовершеннолетних детей (23) | дети из замещающих семей (23) | многодетные родители (22) | приемные дети (21) | дети из приемных семей (21) | члены многодетных семей (19) | дети из многодетных и малоимущих семей (19) | родители/законные представители (17) | подростки из замещающих семей (15) | подростки-сироты (15) | семьи с недоношенными детьми (15) | дети- сироты (14) | законные представители несовершеннолетних (14) | родители или законные представители детей (12) | родители/законные представители детей (12) | дети – сироты (11) | малоимущие люди (11) | родители или законные представители (10) | дети -сироты (10) | дети оставшиеся без попечительства родителей (10) | семьи с одним родителем (10) | дети сирот (8) | дети в тжс (8) | подростки с подопечных семей (8) | родители многодетных семей (8) | родители недоношенных детей (7) | дети из малоимущих и многодетных семей (7) | представители детей-сирот (7) | дети оставшиеся без попечения родителей и оказавшиеся в трудной жизненной ситуации (6) | дети без попечения родителей (6) | законные представители подростков (6) | подростки в тжс (6) | подростки многодетные семьи (6) | семьи в тжс (6) | дети из многодетных малообеспеченных семей (6) | дети многодетных семей (6) | замещающие семьи с детьми (6) | школьники из многодетных и малообеспеченных семей (6) | дети из неблагополучных и малообеспеченных семей (6) | родители детей из многодетных семей (6) | дети малоимущих и многодетных семей (5) | дети не (5) | подростки многодетные семьи молодежь (5)
65,8348,758,школьники (6407) | старшеклассники (327) | ученики (311) | школьники молодежь (31) | старшеклассники школ (25) | дети-школьники (23) | школьники студенты (22) | студенты дети (14) | школьники всех возрастов (13) | воспитанники старшего (13) | молодежь студенты (13) | подростки-школьники (12) | учеников (11) | дети-дошкольники (11) | подростки студенты (10) | школьники-подростки (10) | школьники старше (10) | молодежь: школьники (10) | подростки образовательных учреждений (9) | учащиеся/студенты (8) | школьники и студентов (8) | подростки - школьники (8) | учащиеся дети (8) | подростки школьники (7) | дети школьники (7) | студенты возрастом (7) | молодежь - студенты (6) | учащиеся молодежь (6) | школьники возрастом (6) | школьники из (6) | подростки школ (6) | команды школьников (6) | студенты школьники (5) | подростки старших классов (5) | подростки общеобразовательных организаций (5) | молодежь образовательных учреждений (5) | подростки общеобразовательных учреждений (5) | молодежь: студенты (5) | подростки - учащиеся (5) | подростки - учащиеся школ (5) | студенты и активная молодежь (5) | старшеклассников (5) | школьники и студенческая молодежь (5) | студенты молодежь (5) | молодежь учебных заведений (5) | студенты в возраст (5) | старшеклассники молодежь (5) | дети дошкольного и школьного возрастамолодежь (4) | молодежь и студентымагистранты (4) | дети - школьники (4) | школьники и учащаяся молодежь (4) | школьники школ (4) | школьники и абитуриенты (4) | подростки: школьники (4) | молодежь студенческая молодежь (4) | дети/подростки (4) | молодежь из вузов (4) | старшеклассников и студентов (4) | молодежь и студентыпризывники (3) | школьники-абитуриенты (3) | педагоги подростков (3) | учащиеся школ молодежь (3) | воспитанники младшей (3) | молодежь/студенты (3) | дети дошкольного и школьного возрастаподростки (3) | молодежь школьники (3) | школьники - учащиеся (3) | молодежь и студент (3) | дети-ученики (3) | школьники абазы (3) | дети -школьники (3) | подростки учащиеся (3) | молодежь студенты исои (3) | молодежь - школьники (3) | молодежь и студентыстаршеклассники (3) | школьники дети (3) | молодежь образовательных организаций (3) | молодежь вузов (3) | школьники зато (3) | школьники возрасте (3)
43,7904,761,женщины (5182) | девушки (351) | беременные женщины (253) | женщины пенсионеры (174) | женщины лица (145) | женщины с детьми (141) | женщины люди с ограниченными возможностями здоровья (117) | женщины дети-сироты и дети (70) | женщины старше (59) | вдовы (47) | женщины в трудной жизненной ситуации (21) | женщины люди с ограниченными возможностями здоровья лица (21) | женщины предпенсионного и (18) | одинокие родители (17) | женщины люди с ограниченными возможностями здоровья пенсионеры (17) | молодые женщины (17) | женщины люди с ограниченными возможностями здоровья пенсионеры лица (17) | женщины пенсионеры люди с ограниченными возможностями здоровья (16) | женщины с малолетними детьми (15) | женщины старшего (13) | женщины в ситуации репродуктивного выбора (13) | женщины с ограниченными возможностями здоровья (13) | женщины с детьми в трудной жизненной ситуации (13) | женщины люди с ограниченными возможностями здоровья дети-сироты и дети (12) | одинокие женщины с детьми (11) | женщины в декрете (11) | женщины-предприниматели (10) | женщины и их дети (10) | женщины среднего (10) | женщины пенсионеры дети-сироты и дети (10) | женщины в декретном отпуске (9) | женщины с инвалидностью (9) | многодетные женщины (9) | одинокие женщины (9) | женщины с несовершеннолетними детьми (8) | женщины-матери (8) | беременные женщины в трудной жизненной ситуации (8) | взрослые женщины (7) | работающие женщины (7) | женщины в сложной жизненной ситуации (7) | женщины с новорожденными детьми (7) | женщины всех возрастов (7) | женщины старшего поколения (7) | женщины люди с ограниченными возможностями здоровья лица с тяжелыми заболеваниями (7) | женщины пенсионеры люди с ограниченными возможностями здоровья лица (6) | зависимые женщины (6) | беременные женщины в ситуации репродуктивного выбора (6) | люди с пода (6) | неработающие женщины (6) | семьи и одиноко (6) | беременные девушки (6) | женщины люди с ограниченными возможностями здоровья пенсионеры дети-сироты и дети (6) | активные женщины (6) | совершеннолетние женщины (6) | женщины в период беременности (5) | женщины в кризисной ситуации (5) | женщины оказавшиеся в трудной жизненной ситуации (5) | семьи и одинокие матери (5) | женщины люди с ограниченными возможностями здоровья пенсионеры лица с тяжелыми заболеваниями (5) | женщины и их семьи (5) | женщины-инвалиды (5) | дети женщин (5) | женщины пенсионного и (5) | женщины предприниматели (4) | женщины-руководители (4) | семьи одиноких родителей с детьми (4) | женщины из (4) | женщины-инвалиды с нарушениями опорно-двигательного аппарата (4) | женщины россии (4) | женщины в отпуске по уходу за ребенком (4) | женщины-лидеры (4) | женщины с поражением опорно-двигательного аппарата (4) | женщины с маленькими детьми (4) | женщины после (4) | женщины из малоимущих (4) | женщины с (4) | дети одиноких родителей (3) | женщины из малообеспеченных семей (3) | женщины с детьми и беременные женщины (3) | беременные женщины молодежь (3)
4,7819,1958,специалисты (1437) | руководители (999) | сотрудники (532) | работники (523) | предприниматели (396) | специалисты в (264) | представители (87) | представители некоммерческих организаций (85) | сотрудники некоммерческих организаций (79) | представители органов власти (75) | члены (67) | представители бизнеса (64) | специалисты некоммерческих организаций (53) | представители власти (38) | руководители некоммерческих организаций (37) | представители органов государственной власти (31) | активисты некоммерческих организаций (30) | представители малого и среднего бизнеса (29) | сотрудники правоохранительных органов (29) | представители некоммерческого сектора (28) | сотрудники организаций (24) | представители бизнес-сообщества (22) | руководители организаций (22) | сотрудники предприятий (22) | члены некоммерческих организаций (19) | работники предприятий (19) | специалисты учреждений (18) | сотрудники силовых структур (17) | работающие граждане (16) | представители организаций (16) | представители органов исполнительной власти (15) | представители социально ориентированных некоммерческих организаций (15) | сотрудники учреждений (15) | специалисты организаций (14) | работники организаций (14) | сотрудники социально ориентированных некоммерческих организаций (13) | представители профессиональных сообществ (13) | специалисты государственных учреждений (12) | члены профсоюза (11) | представители профессионального сообщества (11) | сотрудники органов власти (11) | представители государственных структур (10) | руководители предприятий (10) | члены правлений (9) | представители правоохранительных органов (9) | работники предприятий и организаций (9) | представители компаний (9) | представители малого бизнеса (9) | сотрудники компаний (9) | работники бюджетной сферы (8) | сотрудники исправительных учреждений (8) | специалисты государственных и негосударственных организаций (8) | сотрудники полиции (8) | представители работодателей (7) | специалисты органов (7) | участники некоммерческих организаций (7) | сотрудники органов государственной власти (7) | специалисты социально ориентированных некоммерческих организаций (7) | руководители учреждений (6) | представители социально ориентированных и помогающих профессий (6) | работники некоммерческих организаций (6) | работников (6) | специалисты предприятий (6) | сотрудники правоохранительных органов и пенитенциарных учреждений (6) | представители предпринимательского сообщества (6) | люди разных профессий (6) | сотрудники силовых ведомств (6) | представители кмнс (6) | работники бюджетных учреждений (6) | представители бизнес-сообществ (5) | предпринимателей (5) | сотрудники некоммерческих и бюджетных организаций (5) | сотрудники промышленных предприятий (5) | представители власти и бизнеса (5) | коллективы предприятий и организаций (5) | члены профсоюзов (5) | представители трудовых коллективов (5) | сотрудники оопт (5) | руководителей (5) | представители крупного бизнеса (5)
55,7794,1544,дети с ограниченными возможностями здоровья (1263) | дети-инвалиды (1259) | подростки с ограниченными возможностями здоровья (285) | дети с инвалидностью (252) | студенты люди с ограниченными возможностями здоровья (232) | подростки люди с ограниченными возможностями здоровья (232) | дети инвалиды (180) | многодетные семьи люди с ограниченными возможностями здоровья (147) | люди с ограниченными возможностями здоровья молодежь (137) | подростки люди с ограниченными возможностями здоровья молодежь (131) | дети с ограниченными возможностями (121) | молодые люди с инвалидностью (115) | дети - инвалиды (113) | молодые инвалиды (107) | молодые люди с ограниченными возможностями здоровья (88) | многодетные семьи люди с ограниченными возможностями здоровья дети-сироты и дети (86) | подростки с инвалидностью (83) | дети-инвалидов (81) | молодежь с ограниченными возможностями здоровья (70) | многодетные семьи люди с ограниченными возможностями здоровья лица (67) | дети и подростки люди с ограниченными возможностями здоровья дети-сироты и дети (57) | дети с ограниченными возможностями здоровья и инвалидностью (46) | люди с ограниченными возможностями здоровья дети-сироты и дети (46) | дети -инвалиды (43) | молодежь с инвалидностью (40) | подростки люди с ограниченными возможностями здоровья лица (40) | подростки лица с тяжелыми заболеваниями (31) | дети- инвалиды (29) | инвалиды с детства (27) | дети с онкологическими заболеваниями (26) | подростки с ограниченными возможностями (25) | дети с тяжелыми заболеваниями (23) | дети с особыми образовательными потребностями (23) | подростки люди с ограниченными возможностями здоровья лица с тяжелыми заболеваниями (21) | дети – инвалиды (20) | подростки пенсионеры люди с ограниченными возможностями здоровья (20) | инвалиды детства (17) | многодетные семьи лица с тяжелыми заболеваниями (15) | дети с инвалидностью и ограниченными возможностями здоровья (15) | семьи с тяжелобольными детьми (14) | подростки-инвалиды (13) | родители детей с онкологическими заболеваниями (12) | обучающиеся с ограниченными возможностями здоровья (10) | молодежь с ограниченными возможностями (10) | молодые люди с ограниченными возможностями здоровья и инвалидностью (10) | дети–инвалиды (10) | дети и взрослые с ограниченными возможностями здоровья (10) | многодетные семьи люди с ограниченными возможностями здоровья лица с тяжелыми заболеваниями (9) | подростки с онкологическими заболеваниями (9) | подростки инвалиды (9) | подростки онкобольные (9) | семьи с онкобольными детьми (8) | подростки люди с ограниченными возможностями здоровья пенсионеры лица (8) | дети с особенностями здоровья (8) | дети-инвалиды дошкольного и младшего (7) | учащиеся с ограниченными возможностями здоровья (7) | люди с ограниченными возможностями здоровья лица с тяжелыми заболеваниями молодежь (7) | дети инвалидов (7) | молодые люди с ограниченными возможностями (7) | подростки - инвалиды (6) | подростки с ограниченными возможностями здоровья и инвалидностью (6) | дети с ограниченными возможностями здоровья дети-сироты и дети (6) | дети без особенностей развития (6) | лица с тяжелыми заболеваниями молодежь (6) | люди с психическими расстройствами (6) | дети - инвалидов (6) | дети с ограниченными физическими возможностями (6) | дети с ограниченными возможностями здоровья возрасте (6) | дети с тяжелыми неизлечимыми заболеваниями (6) | дети с ограниченными возможностями здоровья люди с ограниченными возможностями здоровья (5) | подростки лица с тяжелыми заболеваниями люди с ограниченными возможностями здоровья (5) | дети с особыми возможностями здоровья (5) | подростки лица с тяжелыми заболеваниями молодежь (5) | дети-инвалиды дети-сироты и дети (5) | подростки с ограниченными возможностями здоровья и их семьи (5) | родители детей с тяжелыми неизлечимыми заболеваниями (5) | семьи неизлечимо больных детей (5) | многодетные семьи лица с тяжелыми заболеваниями лица (5) | дети-инвалиды люди с ограниченными возможностями здоровья (5) | люди с ограниченными возможностями здоровья: дети (5)
